CD No,CD Title,CD ID,CD Lable,Performer,Orchestra_Conductor,Time
CD1,Bach ViolinConcertos,CDA66380,1,1,1,58.5
CD2,Brandenburg Concertos ##1-3,OQ0062,2,,2,
CD3,Brandenburg Concertos ##4-6,OQ0063,2,,2,
CD4,"Cantatas (""Coffee""/""Peasant"")",8.550641,3,2,3,51.42
CD5,Cantatas BWV 80 & BWV 147,8.550642,3,2,3,53.48
CD6,Christmas Oratoria,8.550428-430,3,2,4,148.06
CD7,Die Kunst der Fugue,CDA66631/2,1,3,,122.15
CD8,French Suites ##1 & 2,8.550709,3,4,,55.24
CD9,French Suites ##3 - 6,8.550710,3,4,,65.46
CD10,Goldberg Variationen,WVH 032,4,5,,
CD11,Goldberg Variations,SMN 52594,5,6,,46.11
CD12,Handel / Bach Harpsichord,SMN 52590,5,6,,55.11
CD13,Harpsichord Concertos,PCD 864,6,7,5,63.18
CD14,Inventions & Sinfoniae,1905161,7,3,,56.11
CD15,J.S. Bach Piano Works,8.550571,3,8,,63.16
CD16,Piano Concertos (Complete) Vol 1,8.550422,3,9,6,61.55
CD17,Piano Concertos (Complete) Vol 2,8.550423,3,9,6,57.12
CD18,Sechs Suiten für Violincello solo,419 359-2,8,10,,138.45
CD19,Sonatas and Partitas for Solo Violin Vol 1,8.550569,3,11,,77
CD20,Sonatas and Partitas for Solo Violin Vol 2,8.550570,3,11,,76.12
CD21,The Well Tempered Clavier Book 1,SMN 52600,5,6,,106.39
CD22,The Well Tempered Clavier Part 1 ##1-12,CLS 4203,9,12,,51.28
CD23,The Well Tempered Clavier Part 1 ##13-24,CLS 4205,9,12,,50.49
CD24,Two and Three Part Inventions,SMK 52596,5,6,,50.04