CD Title,CD ID,CD Lable,Performer,Orchestra,Conductor,Time
Bach ViolinConcertos,CDA66380,Hyperion,Catherine MacKintosh,The King's Consort,Robert King,58.5
Brandenburg Concertos ##1-3,OQ0062,Concerto Classics,,Hamburg Symphony Orchestra,Gabor Otücs,
Brandenburg Concertos ##4-6,OQ0063,Concerto Classics,,Hamburg Symphony Orchestra,Gabor Otücs,
"Cantatas (""Coffee""/""Peasant"")",8.550641,Naxos,Various,Failoni Chamber Orchestra,Mátyás Antál,51.42
Cantatas BWV 80 & BWV 147,8.550642,Naxos,Various,Failoni Chamber Orchestra,Mátyás Antál,53.48
Christmas Oratoria,8.550428-430,Naxos,Various,Failoni Radio Orch./Hungarian Radio Choir,Géza Oberfrank,148.06
Die Kunst der Fugue,CDA66631/2,Hyperion,Tatiana Nikolaeva,,,122.15
French Suites ##1 & 2,8.550709,Naxos,Wolfgang Rübsam,,,55.24
French Suites ##3 - 6,8.550710,Naxos,Wolfgang Rübsam,,,65.46
Goldberg Variationen,WVH 032,Arts Music,Pieter Jan Belder,,,
Goldberg Variations,SMN 52594,Sony,Glenn Gould,,,46.11
Handel / Bach Harpsichord,SMN 52590,Sony,Glenn Gould,,,55.11
Harpsichord Concertos,PCD 864,Pickwick,Ivor Bolton,St. James's Baroque Players,Ivor Bolton,63.18
Inventions & Sinfoniae,1905161,Harmonia Mundi,Tatiana Nikolaeva,,,56.11
J.S. Bach Piano Works,8.550571,Naxos,János Sebestyén,,,63.16
Piano Concertos (Complete) Vol 1,8.550422,Naxos,Hae-won Chang,Camerata Cassovia,Robert Stankovsky,61.55
Piano Concertos (Complete) Vol 2,8.550423,Naxos,Hae-won Chang,Camerata Cassovia,Robert Stankovsky,57.12
Sechs Suiten für Violincello solo,419 359-2,DG,Pierre Fournier,,,138.45
Sonatas and Partitas for Solo Violin Vol 1,8.550569,Naxos,Christiane Edinger,,,77
Sonatas and Partitas for Solo Violin Vol 2,8.550570,Naxos,Christiane Edinger,,,76.12
The Well Tempered Clavier Book 1,SMN 52600,Sony,Glenn Gould,,,106.39
The Well Tempered Clavier Part 1 ##1-12,CLS 4203,Masters Classic,Christiane Jaccottet,,,51.28
The Well Tempered Clavier Part 1 ##13-24,CLS 4205,Masters Classic,Christiane Jaccottet,,,50.49
Two and Three Part Inventions,SMK 52596,Sony,Glenn Gould,,,50.04